PARKID,NAME,CITY,STATE,START,END,LEAGUE,NOTES,AKA,Exact,Latitude,Longitude,Altitude
SPR01,Hampden Park Race Track,Springfield,MA,18720723,18750514,NA,TRO:7/23/1872; BS1:7/16/1873;5/14/1875,Springfield Track,Y,42.107144,-72.605784,67
STL01,Red Stocking Base-Ball Park,St. Louis,MO,18750504,18750704,NA,SL1,Compton Avenue Base Ball Park,Y,38.629315,-90.23415,462
STL02,Grand Avenue Park,St. Louis,MO,18750506,18780713,,SL2:1875; SL3:1876-1877,Sportsman's Park; Grand Avenue Grounds,Y,38.657795,-90.220619,492
STL03,Sportsman's Park I,St. Louis,MO,18820502,18921013,,SL4:1882-1891; SLN:1892,Athletic Park,Y,38.657795,-90.220619,492
STL04,Palace Park of America,St. Louis,MO,18840420,18860923,,SLU:1884; SL5:1885-86,Union Grounds,Y,38.646394,-90.212177,507
STL05,Robison Field,St. Louis,MO,18930427,19200606,NL,,League Park; Cardinal Field; Vandeventer Lot,Y,38.662799,-90.222147,500
STL06,Sportsman's Park II,St. Louis,MO,19020423,19081006,AL,,,Y,38.657795,-90.220619,492
STL07,Sportsman's Park III,St. Louis,MO,19090414,19660508,,SLA:1909-1953; SLN:7/1/1920 to 5/8/1966,Busch Stadium,Y,38.657718,-90.220344,492
STL08,Handlan's Park,St. Louis,MO,19140416,19151003,FL,,Federal League Park; Laclede Street Field; Grand and Market; Steininger Field,Y,38.633589,-90.23254,512
STL09,Busch Stadium II,St. Louis,MO,19660512,20051002,NL,,Busch Memorial Stadium,Y,38.62393,-90.192326,460
STL10,Busch Stadium III,St. Louis,MO,20060410,,NL,,,Y,38.622622,-90.192841,438
STP01,Tropicana Field,St. Petersburg,FL,19980331,,AL,,,Y,27.768254,-82.653431,41
SYD01,Sydney Cricket Ground,Sydney,AUS,20140322,20140323,NL,,,Y,-33.891699,151.224729,190
SYR01,Star Park I,Syracuse,NY,18790528,18790910,NL,,Newell Park,Y,43.034993,-76.148711,392
SYR02,Star Park II,Syracuse,NY,18900428,18901004,AA,,,Y,43.039494,-76.151866,395
SYR03,Iron Pier,Syracuse,NY,18900803,18900803,AA,Forfeit by LS2 to SR2; no game ever played here,,Y,43.072139,-76.17549,395
THR01,Three Rivers Park,Three Rivers,NY,18900518,18900720,AA,SR2: Sundays,,Y,43.203262,-76.278024,369
TOK01,Tokyo Dome,Tokyo,JAP,20000329,20120329,,NYN&CHN:2000;NYA&TBA:2004;BOS&OAK:2008,Big Egg; Tokyo Kyujyo,Y,35.705526,139.751928,57
TOL01,League Park,Toledo,OH,18840514,18840924,AA,,,Y,41.653696,-83.545536,609
TOL02,Tri-State Fair Grounds,Toledo,OH,18840913,18840913,AA,,,Y,41.654033,-83.590833,617
TOL03,Speranza Park,Toledo,OH,18900501,18901002,AA,,,Y,41.669628,-83.543978,609
TOL04,Armory Park,Toledo,OH,19030628,19030816,AL,DET: 2 games,Military Park,Y,41.656331,-83.536221,597
TOR01,Exhibition Stadium,Toronto,ONT,19770407,19890528,AL,first game: snow covering outfield,Prohibition Stadium; Canadian National Exhibition Stadium,Y,43.632568,-79.417679,273
TOR02,Rogers Centre,Toronto,ONT,19890605,,AL,,Skydome,Y,43.641256,-79.389054,268
TRO01,Haymakers' Grounds,Troy,NY,18710509,18810930,,TRO:1871-72; TRN: 1880-81,,Y,42.759763,-73.681229,32
TRO02,Putnam Grounds,Troy,NY,18790528,18790920,NL,TRN: 05/30/1882 (Gm 2),The Puts; Beman Park,Y,42.733038,-73.676616,250
WAR01,Rocky Point Park,Warwick,RI,19030906,19030906,NL,BSN; outfield surrounded by ocean,,Y,41.690486,-71.364405,38
WAS01,Olympic Grounds,Washington,DC,18710505,18750608,NA,WS3:1871-1872; WS5:1873; WS6:1875,,Y,38.914522,-77.037562,91
WAS02,National Grounds,Washington,DC,18720420,18720525,NA,WS4,,Y,38.91261,-77.036478,89
WAS03,Capitol Grounds,Washington,DC,18840418,18840925,UA,,Union Association Park,Y,38.892956,-77.006695,74
WAS04,Athletic Park,Washington,DC,18840501,18840802,AA,,,Y,38.914797,-77.024472,85
WAS05,Swampoodle Grounds,Washington,DC,18860429,18890921,NL,,Capital Park Grounds,Y,38.898236,-77.007383,40
WAS06,Boundary Field,Washington,DC,18910413,18991014,,WS9:1891; WSN: 1892-1899,National Park; Beyer's Seventh Street Park,Y,38.917576,-77.020191,100
WAS07,American League Park I,Washington,DC,19010429,19030928,AL,first PA announcer (1902),National Park,Y,38.901672,-76.986996,48
WAS08,American League Park II,Washington,DC,19040414,19101006,AL,,National Park,Y,38.917576,-77.020191,100
WAS09,Griffith Stadium,Washington,DC,19110412,19610921,AL,WS1:1911-60; WS2:1961,National Park; Clark Griffith Park,Y,38.917576,-77.020191,100
WAS10,Robert F. Kennedy Stadium,Washington,DC,19620409,20070923,,AL:1962-71; NL:2005-07,D.C. Stadium; RFK Stadium,Y,38.889766,-76.971837,24
WAS11,Nationals Park,Washington,DC,20080330,,NL,,,Y,38.872987,-77.007435,23
WAT01,Troy Ball Club Grounds,Watervliet,NY,18820520,18820826,NL,TRN,West Troy Grounds,Y,42.732806,-73.70947,47
WAV01,Waverly Fairgrounds,Waverly,NJ,18730428,18730723,NA,ELI,Domestic Field; Waverly Park; Weequahic Park,Y,40.701664,-74.19705,18
WEE01,Monitor Grounds,Weehawken,NJ,18870911,18870911,AA,NY4,Monitor Park,Y,40.786143,-74.006989,179
WHE01,Island Grounds,Wheeling,WV,18900922,18900922,NL,PIT,Wheeling Grounds,Y,40.063386,-80.733735,649
WIL01,Union Street Park,Wilmington,DE,18840902,18840910,UA,9/15 forfeit,Union Street Ball Grounds; Union Park; Wilmington Grounds; Quickstep Park,Y,39.747745,-75.574942,150
WIL02,Bowman Field,Williamsport,PA,20170820,20180819,NL,PIT,BB&T Ballpark at Historic Bowman Field,Y,41.242347,-77.047067,518
WNY01,West New York Field Club Grounds,West New York,NJ,18980911,18990917,NL,BRO:9/18 & 10/2/1898; NY1: 9/11/98; 6/4 & 7/16 & 8/13 & 9/17/99,Weehawken Cricket Grounds,N,40.772796,-74.019648,175
WOR01,Agricultural County Fair Grounds I,Worcester,MA,18800501,18820929,NL,,Worcester Driving Park,Y,42.268844,-71.814226,496
WOR02,Agricultural County Fair Grounds II,Worcester,MA,18870817,18870817,NL,1 BSN game,Worcester Driving Park,Y,42.268844,-71.814226,496
WOR03,Worcester Driving Park Grounds,Worcester,MA,18741030,18741030,NA,1 BS1 game,,Y,42.268721,-71.812404,496
